Unnamed: 0,Dates,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,Delhi,DNH,DVC,Essar steel,Goa,Gujarat,Haryana,HP,J&K,Jharkhand,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Mizoram,MP,Nagaland,Odisha,Pondy,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption,year,month,day,day_of_week,quarter,total_consumption,daily_growth_rate,rolling_7_day_avg,rolling_30_day_avg
10,2013-07-18,214.6,1.3,24.7,44.5,5.7,66.9,6.1,104.0,14.2,61.2,10.2,7.1,202.1,173.2,25.6,31.2,22.6,138.6,51.4,300.6,1.3,4.1,1.0,113.6,1.5,74.8,6.2,193.2,146.9,1.3,251.6,123.4,3.2,253.7,33.1,135.7,2850.4,2013,7,18,3,3,5700.799999999999,-0.18559372483104575,5714.285714285715,
11,2013-07-19,206.3,1.1,24.6,43.2,5.9,68.5,6.1,104.0,13.7,61.2,10.0,7.0,204.8,172.0,25.5,31.2,22.6,137.0,51.2,294.0,1.7,4.3,1.0,111.0,1.6,74.8,6.2,194.2,150.4,1.3,245.1,123.7,3.0,246.6,33.8,135.7,2824.3,2013,7,19,4,3,5648.6,-0.915660959865261,5686.714285714284,
12,2013-07-20,207.2,1.1,24.6,44.0,5.1,64.9,6.1,85.9,12.4,61.2,10.7,7.0,207.6,157.4,22.9,24.6,22.6,132.5,51.2,289.3,1.4,4.3,1.0,110.8,1.3,74.8,6.0,180.6,143.4,1.3,238.8,125.8,2.5,236.1,34.5,135.7,2736.6,2013,7,20,5,3,5473.2,-3.1051942074142413,5644.914285714286,
13,2013-07-21,213.4,1.2,24.6,44.5,4.9,62.7,5.9,82.7,12.5,61.2,10.1,6.2,200.1,152.9,21.9,28.1,22.6,124.5,47.3,282.3,1.4,4.2,1.0,110.7,1.3,74.8,5.6,181.6,132.8,1.3,228.5,125.8,2.5,236.3,31.0,135.7,2684.1,2013,7,21,6,3,5368.2,-1.9184389388292034,5600.857142857143,
14,2013-07-22,209.9,1.2,23.2,38.9,5.6,63.3,5.8,92.4,12.2,58.5,9.3,6.5,205.7,153.3,22.8,31.3,21.0,136.5,51.1,298.0,1.3,4.3,0.9,110.8,1.2,66.5,5.9,220.7,133.2,0.9,243.0,121.3,2.9,241.6,32.1,135.9,2769.0,2013,7,22,0,3,5538.0,3.163071420587915,5586.142857142857,
15,2013-07-23,202.0,1.3,23.0,40.2,5.9,63.0,5.9,96.7,12.6,58.9,8.8,6.5,199.5,155.0,22.9,31.6,20.8,129.8,51.2,295.6,1.6,4.4,0.8,112.1,1.6,67.5,6.0,191.7,137.4,1.0,246.8,121.0,2.7,245.0,31.4,135.2,2737.4,2013,7,23,1,3,5474.799999999999,-1.1412062116287647,5559.285714285715,
16,2013-07-24,213.7,0.7,25.4,41.4,6.0,61.8,5.9,100.2,12.6,60.0,8.0,6.5,196.2,159.4,23.8,29.3,20.0,131.5,51.5,291.4,1.6,4.6,1.1,118.4,1.6,66.8,6.2,192.7,145.0,1.2,247.9,123.6,3.1,243.1,28.4,137.8,2768.4,2013,7,24,2,3,5536.8,1.1324614597793659,5534.342857142858,
17,2013-07-25,226.4,0.7,25.6,40.2,6.0,62.7,6.1,94.5,12.6,57.4,7.7,7.0,196.9,155.8,24.2,27.5,19.2,136.3,51.0,292.7,1.5,4.4,1.1,114.2,1.6,68.8,6.2,192.6,142.8,1.2,242.3,127.2,2.9,242.1,27.8,134.8,2762.0000000000005,2013,7,25,3,3,5524.000000000001,-0.23118046525066882,5509.085714285714,
18,2013-07-26,233.8,0.8,21.2,38.5,5.9,60.6,6.1,95.0,13.9,58.0,5.7,7.4,196.8,158.7,24.9,31.0,17.8,135.0,50.0,290.2,1.8,4.4,1.1,111.1,1.1,66.9,6.4,193.9,135.4,1.3,253.0,125.9,2.7,240.9,32.7,131.2,2761.0999999999995,2013,7,26,4,3,5522.199999999999,-0.032585083273029,5491.028571428571,
19,2013-07-27,236.8,1.3,25.1,36.9,5.9,56.6,6.0,91.9,12.9,57.6,7.9,7.3,197.0,159.8,24.1,30.9,17.5,132.3,51.3,291.4,1.6,5.6,1.1,106.9,1.3,66.8,6.7,195.5,129.1,1.0,252.4,130.9,2.3,245.2,33.3,117.5,2747.7,2013,7,27,5,3,5495.4,-0.48531382420048397,5494.199999999999,
20,2013-07-28,235.9,1.4,24.7,39.8,5.6,59.1,6.0,93.7,14.0,56.3,9.4,7.4,188.2,157.1,22.8,28.7,19.2,124.0,48.5,282.3,1.5,4.3,1.0,101.5,1.5,67.8,6.2,198.7,125.9,1.0,246.1,127.0,2.3,242.5,32.6,123.6,2707.6000000000004,2013,7,28,6,3,5415.200000000001,-1.4594024092877467,5500.914285714286,
21,2013-07-29,243.6,1.1,24.8,40.0,7.3,59.9,6.0,102.6,13.7,57.6,9.1,8.2,186.8,164.0,24.1,30.8,18.8,134.9,52.6,297.7,1.5,4.5,1.0,104.9,1.4,66.5,6.5,197.9,132.3,1.1,254.8,122.1,2.3,247.9,32.7,117.5,2778.5,2013,7,29,0,3,5557.0,2.618555178017412,5503.628571428571,
22,2013-07-30,238.0,1.2,24.9,41.1,5.2,55.7,6.0,102.5,14.4,55.7,9.0,8.4,188.6,159.1,25.1,26.1,19.1,137.4,54.4,302.3,1.3,4.4,1.0,109.9,1.3,62.2,6.5,198.3,132.2,1.3,261.6,119.5,2.8,246.0,31.9,126.4,2780.8000000000006,2013,7,30,1,3,5561.600000000001,0.08277847759585732,5516.028571428572,
23,2013-07-31,220.2,1.1,24.4,41.7,6.3,55.5,5.9,96.9,14.8,55.4,9.2,7.7,190.9,159.2,24.7,31.0,18.9,137.5,55.6,295.5,1.2,4.6,1.0,105.4,1.4,67.0,6.5,198.4,135.9,1.3,258.5,118.5,2.5,250.9,28.9,127.8,2762.2000000000007,2013,7,31,2,3,5524.4000000000015,-0.6688722669735303,5514.257142857144,
24,2013-08-01,223.3,1.2,25.8,41.1,6.3,58.2,5.9,97.1,14.4,54.5,8.7,6.8,192.0,151.3,23.8,28.8,19.3,137.2,50.8,284.7,1.2,4.4,1.0,106.4,1.6,66.2,6.6,186.0,135.4,1.2,257.4,124.2,2.8,246.5,27.8,128.9,2728.8,2013,8,1,3,3,5457.6,-1.2091810875389353,5504.771428571429,
25,2013-08-02,234.8,1.1,25.9,45.0,5.8,57.0,6.0,102.1,14.3,57.2,8.8,7.7,188.3,155.5,24.1,26.7,20.0,140.8,49.0,277.6,1.6,4.0,1.1,111.3,1.7,64.8,6.7,182.3,149.1,1.2,260.1,121.9,2.8,252.9,33.4,129.5,2772.1000000000004,2013,8,2,4,3,5544.200000000001,1.586778070946937,5507.914285714286,
26,2013-08-03,247.8,1.2,26.0,43.7,5.7,56.8,6.0,97.8,14.2,57.9,7.4,7.5,185.4,164.7,23.4,28.4,20.0,140.6,51.9,290.3,1.6,4.0,1.0,112.2,1.6,67.2,6.6,188.7,150.9,0.6,252.9,118.4,2.9,256.7,33.3,133.0,2808.3,2013,8,3,5,3,5616.6,1.305869196637932,5525.228571428573,
27,2013-08-04,247.7,1.0,24.9,40.2,5.3,58.5,6.0,94.4,14.9,56.5,6.9,7.0,181.4,158.0,22.0,29.5,18.8,131.4,47.8,286.2,1.3,4.3,0.7,114.2,1.5,68.6,6.3,189.6,148.7,0.8,238.4,122.2,2.8,259.1,31.4,129.2,2757.4999999999995,2013,8,4,6,3,5514.999999999999,-1.808923548054009,5539.4857142857145,
28,2013-08-12,235.1,1.1,24.8,41.7,5.6,61.1,6.1,97.3,15.2,57.5,8.7,7.7,197.4,151.3,22.6,26.9,19.2,144.0,55.3,316.3,1.6,4.7,1.0,114.8,1.4,68.9,5.9,187.5,137.6,1.2,229.6,146.0,3.0,236.1,32.1,124.0,2790.3,2013,8,12,0,3,5580.6,1.1894832275612277,5542.857142857143,
29,2013-08-13,241.7,1.2,24.7,43.4,5.3,64.9,6.1,93.3,15.2,61.0,8.7,7.7,198.8,150.5,23.7,23.2,20.0,147.3,55.6,310.5,1.2,4.3,1.0,113.0,1.2,69.2,5.4,183.7,135.4,1.1,233.7,134.7,3.2,237.8,28.7,137.5,2793.9,2013,8,13,1,3,5587.799999999999,0.1290183851198501,5546.6,5601.873333333333
30,2013-08-14,248.1,1.7,24.6,43.3,5.5,67.1,6.2,91.7,15.1,59.3,8.2,7.7,198.8,143.6,24.3,21.4,20.4,151.5,55.2,313.8,1.3,4.5,1.1,116.3,1.3,70.1,5.6,176.2,129.7,1.3,237.9,141.1,3.1,237.1,32.0,135.0,2801.0999999999995,2013,8,14,2,3,5602.199999999999,0.2577042843337152,5557.714285714285,5598.9
31,2013-08-16,222.7,1.3,22.1,40.4,5.1,61.0,5.5,83.8,14.0,56.8,8.3,7.7,192.1,121.8,22.7,24.9,18.9,141.5,55.2,301.4,1.4,4.3,1.0,116.0,1.5,70.9,4.6,130.2,117.2,1.9,228.4,135.5,2.6,229.2,33.1,128.6,2613.5999999999995,2013,8,16,4,3,5227.199999999999,-6.693798864731715,5524.8,5581.360000000001
32,2013-08-17,221.5,1.3,25.3,41.5,4.8,60.2,5.5,81.6,15.0,56.6,8.3,7.8,200.3,121.7,23.0,27.5,18.9,139.8,55.4,317.2,1.3,4.6,1.0,114.0,1.3,68.0,5.0,122.7,117.7,0.9,225.3,136.8,3.0,225.2,34.0,128.3,2622.3000000000006,2013,8,17,5,3,5244.600000000001,0.3328741965106019,5482.0,5561.3133333333335
33,2013-08-18,220.6,1.6,23.5,41.7,4.5,55.1,6.3,79.9,15.4,55.5,8.4,6.4,197.7,121.8,22.4,26.7,18.5,137.2,51.3,305.5,1.3,3.8,1.0,107.7,1.7,67.6,6.4,127.7,120.3,0.9,219.7,136.9,2.5,226.9,33.0,121.2,2578.6,2013,8,18,6,3,5157.2,-1.6664759943561314,5416.371428571429,5539.08
34,2013-08-19,230.4,1.2,23.7,42.2,5.0,58.7,6.3,86.3,15.0,58.3,8.4,7.9,203.6,123.5,23.3,27.5,18.6,139.8,54.1,318.1,1.4,4.3,1.0,106.7,1.4,68.1,5.8,135.4,129.0,1.0,223.3,140.0,2.9,227.0,33.5,120.6,2653.3,2013,8,19,0,3,5306.6,2.896920809741732,5386.599999999999,5521.246666666667
35,2013-08-20,237.9,1.4,24.4,42.0,5.1,54.2,5.2,80.6,14.6,56.4,8.4,7.4,178.1,121.4,23.0,28.2,17.3,148.6,55.5,313.7,1.8,4.1,1.0,104.2,1.6,65.5,6.1,150.9,117.4,0.9,243.5,134.4,3.3,225.6,31.8,106.4,2621.9,2013,8,20,1,3,5243.8,-1.183431952662728,5338.4857142857145,5503.846666666666
36,2013-08-21,244.6,1.2,24.9,31.9,5.4,55.3,5.8,86.1,15.0,52.1,5.8,7.8,199.3,121.7,22.8,28.6,16.7,153.4,55.7,318.5,1.2,4.4,1.0,100.0,1.3,66.8,6.2,160.5,123.5,1.0,246.5,128.0,2.8,224.2,30.1,101.6,2651.7,2013,8,21,2,3,5303.4,1.1365803424997045,5297.857142857143,5491.406666666666
37,2013-08-22,246.4,1.1,22.9,36.5,5.4,55.9,6.4,88.3,14.7,53.5,6.1,7.6,216.3,124.2,23.2,29.3,17.5,155.4,56.8,320.2,1.1,4.2,1.1,97.4,1.2,69.2,6.3,166.8,129.6,1.0,250.7,132.6,3.3,225.6,32.0,117.0,2726.8,2013,8,22,3,3,5453.6,2.832145416148135,5276.628571428571,5485.16
38,2013-08-23,263.2,1.3,23.4,41.0,5.4,58.6,5.7,95.3,15.1,58.5,5.2,7.8,222.8,140.4,23.9,29.5,18.8,155.1,57.3,311.8,1.4,4.5,1.0,108.7,1.4,67.2,6.3,178.7,143.6,1.1,253.6,138.4,3.4,227.1,34.8,124.5,2835.8,2013,8,23,4,3,5671.6,3.9973595423206776,5340.114285714286,5485.453333333334
39,2013-08-24,221.5,1.3,19.6,41.5,4.8,60.2,5.5,81.6,15.0,56.6,8.3,7.8,200.3,121.7,23.0,27.5,18.9,139.8,55.4,317.2,1.3,4.6,1.0,114.0,1.3,68.0,5.0,122.7,117.7,0.9,225.3,136.9,4.3,225.2,34.0,128.3,2618.0000000000005,2013,8,24,5,3,5236.000000000001,-7.680372381691225,5338.885714285715,5469.6066666666675
40,2013-08-27,264.2,1.1,21.7,38.3,5.9,62.3,6.2,104.4,15.2,58.7,5.1,8.2,230.0,153.4,24.0,27.9,18.9,164.6,57.8,324.1,1.6,3.9,1.0,112.6,1.6,67.9,5.7,198.0,161.6,0.9,245.3,140.5,3.4,236.4,32.8,129.3,2934.500000000001,2013,8,27,1,3,5869.000000000002,12.089381207028271,5440.571428571428,5475.213333333333
41,2013-08-28,265.3,1.2,22.3,38.3,5.0,47.5,6.3,91.5,15.2,57.9,7.2,8.0,216.2,153.3,22.5,28.3,19.1,166.2,59.0,330.9,1.2,4.3,1.0,115.4,1.3,66.7,6.7,196.0,162.4,1.1,243.0,136.8,3.7,237.8,31.1,123.5,2893.2,2013,8,28,2,3,5786.4,-1.4073947861646285,5509.114285714286,5479.806666666666
42,2013-08-29,264.1,1.2,22.7,39.2,5.4,55.9,6.3,98.2,15.2,56.0,7.2,7.9,220.5,156.7,24.1,29.1,18.5,169.2,58.5,335.5,1.2,4.5,1.0,114.1,1.4,67.9,6.2,196.5,157.9,1.1,227.5,127.9,3.5,227.9,31.9,124.2,2886.1000000000004,2013,8,29,3,3,5772.200000000001,-0.24540301396376307,5584.6,5489.7733333333335
43,2013-08-31,261.0,1.4,22.0,39.8,5.1,61.2,6.3,91.8,15.2,56.2,7.7,7.9,247.9,161.5,24.2,30.0,20.1,166.1,58.0,340.2,1.4,4.7,1.0,117.0,1.5,68.3,6.6,190.7,165.9,1.2,226.3,116.5,3.6,212.9,31.1,131.1,2903.4,2013,8,31,5,3,5806.799999999999,0.5994248293544668,5656.5142857142855,5504.3933333333325
44,2013-09-01,253.2,1.3,22.0,36.4,4.7,61.8,6.0,88.7,15.2,55.6,7.6,7.8,246.8,159.7,22.7,28.8,20.0,150.0,53.1,335.5,1.5,4.4,1.0,113.5,1.3,63.9,6.2,190.7,169.3,1.0,227.6,118.8,3.4,205.1,28.1,120.6,2833.3,2013,9,1,6,3,5666.6,-2.4144106909140817,5686.942857142858,5508.679999999999
45,2013-09-02,255.4,1.2,23.8,38.0,5.6,64.7,6.1,97.7,15.3,56.7,7.7,8.9,258.9,163.4,24.2,29.1,19.0,150.5,57.5,352.0,1.5,4.0,1.0,118.6,1.7,67.3,6.4,192.7,174.1,1.1,231.1,123.0,3.4,217.1,32.6,121.3,2932.6,2013,9,2,0,3,5865.2,3.5047471146719245,5714.6,5521.693333333334
46,2013-09-03,254.8,1.3,24.4,37.8,5.7,64.5,6.3,97.3,15.4,56.1,7.8,8.5,264.7,164.3,25.3,28.2,19.0,144.2,57.5,358.9,1.5,4.5,1.1,125.8,1.4,66.6,6.6,191.8,175.7,1.1,241.9,127.0,3.6,219.5,32.5,126.7,2969.2999999999997,2013,9,3,1,3,5938.5999999999985,1.2514492259428245,5814.971428571429,5535.086666666666
47,2013-09-04,255.5,1.2,24.2,38.3,5.7,64.4,6.3,97.1,15.4,55.8,7.9,7.8,267.4,164.3,25.7,29.6,19.7,145.8,56.6,361.9,1.7,4.1,1.1,129.5,1.7,69.7,6.5,191.8,176.2,1.2,240.7,139.3,3.6,221.2,31.5,127.1,2997.499999999998,2013,9,4,2,3,5994.999999999996,0.9497187889401237,5832.971428571428,5550.786666666666
48,2013-09-05,260.5,1.2,23.6,40.5,5.6,62.5,6.5,98.1,15.4,55.3,6.6,8.2,267.1,161.4,25.4,28.1,20.3,148.9,57.0,361.2,1.8,4.3,1.1,131.2,1.8,72.6,6.3,190.6,175.2,1.2,254.9,145.9,3.1,227.6,32.5,136.8,3040.3,2013,9,5,3,3,6080.6,1.4278565471226745,5875.0,5569.4
49,2013-09-06,262.9,1.3,23.3,42.9,5.1,67.8,5.7,98.0,15.3,58.8,6.6,8.3,269.6,162.6,24.7,28.5,20.2,151.0,56.4,353.5,1.4,4.7,1.1,133.3,1.4,71.1,5.8,185.7,172.1,1.1,248.6,149.6,2.8,233.9,32.5,131.0,3038.6,2013,9,6,4,3,6077.2,-0.055915534651196364,5918.5714285714275,5588.793333333334
50,2013-09-07,257.1,1.2,23.4,41.9,5.1,67.6,6.3,94.6,15.4,57.6,5.5,7.4,266.1,156.8,24.9,28.7,19.7,146.0,54.0,362.0,1.4,4.9,1.1,136.6,1.4,73.5,5.6,184.1,164.1,1.4,233.5,141.5,2.9,243.8,30.4,125.6,2993.1000000000004,2013,9,7,5,3,5986.200000000001,-1.4974001184756003,5944.199999999999,5607.826666666666
51,2013-09-08,240.0,1.2,23.0,42.3,4.3,62.8,6.3,89.8,15.4,55.2,6.2,6.4,261.9,149.9,22.9,26.4,19.0,130.0,50.3,354.8,1.4,4.5,1.0,141.9,1.8,70.7,5.3,209.0,171.8,1.2,220.3,125.0,3.2,226.2,27.6,124.4,2903.4,2013,9,8,6,3,5806.799999999999,-2.9968928535632156,5964.22857142857,5616.153333333334
52,2013-09-09,231.6,1.1,23.8,43.0,4.8,65.6,5.4,94.8,14.9,56.8,6.6,5.8,268.6,151.2,24.6,27.4,18.2,119.1,54.5,332.1,1.4,4.6,1.0,149.7,1.4,71.3,5.4,183.7,181.9,1.2,217.8,134.1,3.1,231.0,30.2,124.4,2892.1,2013,9,9,0,3,5784.2,-0.38919887028999733,5952.6571428571415,5623.573333333333
53,2013-09-10,242.3,1.4,24.2,45.1,4.9,67.8,5.9,96.8,15.0,57.3,6.3,6.0,277.3,154.4,25.0,28.9,19.5,124.2,56.2,344.9,1.4,4.3,1.0,149.8,1.6,71.8,5.7,186.1,192.8,1.2,230.2,142.1,3.3,226.1,31.0,123.1,2974.9,2013,9,10,1,3,5949.799999999999,2.8629715431693237,5954.257142857142,5637.753333333333
54,2013-09-11,240.6,1.2,24.8,45.2,5.3,69.2,6.3,98.9,13.8,58.0,4.2,6.0,272.1,152.3,24.4,28.3,18.9,126.1,56.4,346.1,1.4,4.3,1.1,156.8,1.7,72.8,5.9,190.8,192.7,1.0,228.6,146.4,2.8,232.4,31.0,123.3,2991.100000000001,2013,9,11,2,3,5982.200000000002,0.5445561195334792,5952.428571428572,5655.24
55,2013-09-12,245.0,1.3,24.8,43.1,5.3,70.5,6.3,101.4,13.3,56.8,6.1,6.3,259.1,158.8,24.7,27.5,18.4,126.1,56.6,348.7,1.4,4.7,1.0,158.4,1.6,74.3,5.5,190.8,191.4,1.2,228.6,146.6,2.8,238.1,30.8,133.9,3011.2000000000003,2013,9,12,3,3,6022.400000000001,0.67199358095682,5944.114285714285,5671.180000000001
56,2013-09-13,244.6,1.1,24.2,31.0,5.3,70.7,6.2,102.9,15.2,58.1,7.0,7.3,260.9,156.6,25.3,28.5,19.5,124.7,56.3,343.0,1.4,5.0,0.9,159.6,1.7,74.2,6.2,181.6,192.6,1.1,231.0,145.3,2.8,239.3,30.1,128.7,2989.9,2013,9,13,4,3,5979.8,-0.7073591923485667,5930.2,5683.286666666667
57,2013-09-14,249.9,1.0,23.6,39.2,5.2,72.2,6.1,98.5,15.5,55.7,6.6,7.3,256.7,159.3,25.5,30.7,17.3,122.7,55.7,337.6,1.4,4.2,1.0,157.3,1.4,73.9,6.3,179.8,194.5,1.1,234.5,143.8,3.2,243.2,30.1,136.0,2998.0,2013,9,14,5,3,5996.0,0.27091207063780764,5931.599999999999,5699.320000000001
58,2013-09-15,246.5,1.1,23.6,42.8,3.8,69.7,6.4,94.4,15.4,56.2,6.1,6.8,255.7,151.8,21.6,28.9,18.8,113.4,51.0,324.1,1.3,4.1,0.8,152.8,1.5,70.3,5.8,153.4,192.3,0.8,222.8,141.4,3.3,235.9,30.4,110.6,2865.6000000000004,2013,9,15,6,3,5731.200000000001,-4.416277518345546,5920.800000000001,5704.34
59,2013-09-16,243.5,1.4,24.7,41.1,4.2,66.5,6.3,96.8,14.5,56.8,6.1,7.7,268.4,150.1,17.4,29.2,19.7,124.6,48.4,322.6,1.3,4.9,0.9,147.3,1.7,72.6,6.1,112.1,170.8,1.1,237.5,140.1,3.3,237.4,30.8,127.2,2845.1,2013,9,16,0,3,5690.2,-0.7153824678950427,5907.3714285714295,5707.753333333333
60,2013-09-17,237.5,1.4,25.4,41.5,4.6,66.9,6.0,93.9,14.7,52.9,7.0,7.0,269.2,151.8,21.3,29.6,19.2,126.8,47.8,321.6,1.3,4.9,0.9,145.6,1.7,70.5,6.2,155.3,175.3,1.0,240.5,137.8,3.4,242.2,30.9,118.1,2881.7000000000003,2013,9,17,1,3,5763.400000000001,1.2864222698675043,5880.742857142858,5713.126666666666
61,2013-09-18,234.9,1.4,24.1,39.8,4.8,64.3,6.2,94.7,15.2,53.3,6.4,7.3,256.3,160.5,22.5,29.3,17.9,127.3,51.3,303.9,1.3,4.1,1.0,150.1,1.6,72.1,6.3,168.9,181.7,1.3,243.4,141.1,3.3,245.9,30.8,123.6,2897.9,2013,9,18,2,3,5795.8,0.5621681646250432,5854.114285714285,5732.08
62,2013-09-19,239.5,1.5,23.5,37.9,5.1,66.0,6.3,96.8,15.4,55.3,5.8,7.9,277.2,158.2,24.5,30.8,17.7,125.0,54.5,303.8,1.3,3.2,1.0,149.5,1.6,70.2,6.4,170.8,188.1,1.3,248.0,140.7,3.1,242.4,31.4,122.6,2934.3,2013,9,19,3,3,5868.6,1.2560819904068543,5832.142857142858,5752.880000000001
63,2013-09-20,236.0,1.2,23.6,38.9,5.1,60.9,6.1,95.5,15.3,56.2,5.9,7.2,285.8,161.2,24.3,32.0,18.8,127.0,55.6,303.0,1.3,3.3,1.0,136.2,1.5,69.8,6.2,168.7,181.4,1.3,253.1,137.7,2.9,234.9,31.4,129.7,2920.0,2013,9,20,4,3,5840.0,-0.4873393995160735,5812.171428571429,5775.64
64,2013-09-21,228.8,1.4,22.1,41.5,4.4,61.8,6.6,83.7,14.2,56.5,5.1,8.0,280.4,119.1,23.8,31.2,20.2,123.0,55.7,299.7,1.5,3.3,1.1,119.2,1.6,70.6,6.4,176.8,167.2,1.2,247.0,134.3,3.5,229.1,32.6,130.9,2813.5000000000005,2013,9,21,5,3,5627.000000000001,-3.6472602739725857,5759.4571428571435,5786.320000000001
65,2013-09-22,231.3,1.3,18.2,41.3,3.8,61.4,5.4,78.8,14.7,57.4,4.7,7.7,241.6,105.0,22.7,31.3,19.7,116.5,52.4,291.0,1.3,4.4,1.0,119.7,1.4,71.8,6.3,176.1,152.9,1.1,244.6,140.8,3.2,232.5,30.8,125.7,2719.8,2013,9,22,6,3,5439.6,-3.330371423493883,5717.8,5792.846666666667
66,2013-09-23,246.5,1.3,18.3,40.3,4.8,62.5,5.9,92.2,14.5,57.9,4.6,6.9,215.3,107.0,23.9,31.9,20.2,132.7,56.9,304.3,1.4,4.5,0.8,123.2,1.6,74.8,6.3,170.3,152.1,0.9,257.6,143.3,3.4,242.5,32.4,138.3,2801.3000000000006,2013,9,23,0,3,5602.600000000001,2.9965438635193964,5705.285714285715,5802.820000000001
