FeatureType,irradiation,AC_POWER,module_temperature,humidity,tariff_per_kwh,subsidy_percent,installation_cost,maintenance_cost,annual_generation,degradation_rate,payback_period,roi
Residential,-0.69,-1.35,-3.56,-4.84,-1.02,8.96,-212872.85,1546.64,-3691.02,-0.19,24.27,4.12
Residential,0.25,-1.53,1.34,0.55,-0.02,-1.04,-104483.57,-4072.46,2783.85,-0.06,5.5,18.18
Residential,0.89,-0.47,17.73,-2.67,-0.78,-1.04,-198704.83,-666.89,1206.13,-0.09,5.95,16.81
Residential,-0.33,-4.7,-13.64,-4.35,-1.67,-1.04,-321072.93,-2297.82,-4944.27,-0.19,25.0,3.69
Residential,0.65,-0.82,0.11,32.81,-0.04,8.96,-74407.43,1599.58,1002.86,0.13,8.32,12.02
Residential,0.95,4.25,-6.8,-9.49,2.55,8.96,698863.79,-3636.95,6906.89,0.18,8.95,11.17
Residential,-0.72,-4.06,0.71,34.56,0.9,-1.04,-327330.25,57.26,-4643.09,0.07,14.12,7.08
Residential,-0.67,-1.82,-14.85,-24.23,-0.38,8.96,-223083.19,-3306.3,-2759.53,0.09,10.32,9.69
Residential,1.16,0.31,15.95,-26.24,-2.11,8.96,58656.35,-1658.12,2693.95,-0.0,12.14,8.24
Residential,0.9,-1.69,-4.2,-3.93,-0.03,8.96,-206449.11,2134.46,2007.61,-0.11,4.83,20.72
Residential,0.66,-0.48,-4.28,-23.81,1.84,-11.04,66741.49,-738.27,555.17,-0.1,8.91,11.22
Residential,0.54,-4.81,-6.77,31.33,1.72,-1.04,-432549.48,377.73,-5493.51,0.16,15.6,6.41
Residential,-0.39,-4.0,-3.74,15.97,1.08,8.96,-323346.02,-1419.8,-4851.01,-0.18,14.37,6.96
Residential,0.95,1.96,6.16,35.07,-1.84,8.96,228301.65,-1630.99,4604.96,-0.19,12.38,8.08
Residential,0.44,3.39,6.74,-5.17,1.95,-1.04,224603.59,1100.21,923.72,0.18,11.11,9.0
Residential,0.87,-0.73,-6.73,-14.39,-0.27,8.96,-221251.46,1021.39,-1340.11,-0.0,8.29,12.06
Residential,0.23,3.52,1.77,-27.85,-2.18,8.96,119480.74,3413.72,432.26,-0.19,22.47,4.45
Residential,0.7,0.5,1.94,22.04,-1.97,8.96,230822.96,-1957.58,4858.87,-0.05,12.38,8.08
Residential,0.47,-1.43,-6.22,-17.03,-1.72,-11.04,-70757.86,-627.66,-1901.79,-0.13,19.34,5.17
Residential,-0.33,2.3,-6.0,15.64,-1.46,8.96,-9080.99,968.79,3537.0,-0.16,8.87,11.28
Residential,-0.47,-4.03,6.3,12.84,-1.96,-1.04,-425798.63,-674.04,-5295.17,-0.08,25.0,2.37
Residential,0.49,3.96,0.54,11.81,2.44,-1.04,157862.46,-936.58,5444.87,0.06,5.59,17.89
Residential,-0.29,-1.61,-7.13,-8.08,0.04,-1.04,-119697.49,-3508.96,-3261.37,-0.19,15.92,6.28
Residential,-0.46,3.95,-15.3,17.82,-1.36,-1.04,401472.39,856.27,3623.53,0.01,16.29,6.14
Residential,1.16,-2.0,17.63,-17.83,-1.1,-11.04,-211377.38,2653.15,-4337.69,0.07,25.0,2.02
Residential,-0.85,-1.95,-13.1,-8.07,2.66,-1.04,66711.73,213.21,-780.16,0.16,10.34,9.67
Residential,-1.14,3.09,2.27,11.15,0.15,8.96,111798.72,2434.65,-673.72,0.16,16.34,6.12
Residential,1.1,3.41,-2.14,-32.93,-1.24,-11.04,161992.75,-1889.82,5740.77,0.11,8.98,11.13
Residential,1.07,1.37,1.65,6.87,1.91,-1.04,62575.07,-238.74,2600.43,-0.12,6.73,14.85
Residential,0.62,-1.86,13.47,32.05,-0.59,8.96,-103590.77,1214.19,-2703.34,0.01,19.46,5.14
Residential,-0.08,-4.68,-1.69,25.47,-2.72,8.96,-421422.48,-848.33,-5784.24,-0.17,25.0,0.0
Residential,1.11,-0.97,8.69,-28.49,0.95,-1.04,107256.76,-2622.59,-204.26,-0.01,11.7,8.55
Residential,0.37,0.21,-9.17,-30.54,-1.83,8.96,-23150.37,-912.31,356.1,0.08,13.66,7.32
Residential,0.87,-4.9,-6.93,-18.94,2.33,-11.04,-401065.69,-270.28,-5536.9,0.1,18.98,5.27
Residential,-1.2,2.78,-2.58,-5.95,1.32,-11.04,35493.04,1653.93,-2605.65,-0.07,18.87,5.3
Residential,-1.25,3.57,-17.94,18.13,1.07,-1.04,155095.97,-1437.09,-24.06,-0.08,12.39,8.07
Residential,-0.05,-3.65,-2.6,8.84,0.85,8.96,-262246.26,-2648.97,-4100.79,-0.16,12.12,8.25
Residential,1.18,-2.09,7.79,-13.44,-1.51,8.96,-177287.93,-330.89,-3110.53,0.16,20.37,4.91
Residential,-0.32,-1.7,-14.0,26.55,2.55,-1.04,-178832.66,472.16,-3533.08,-0.18,12.17,8.22
Residential,0.15,4.1,-5.01,11.7,-2.45,-1.04,607228.47,2297.5,8669.96,-0.09,16.56,6.04
Residential,-0.26,5.03,2.7,-30.76,-2.41,8.96,563069.7,-3013.98,12073.92,0.2,11.79,8.48
Residential,1.01,2.74,2.96,31.75,2.58,-1.04,225972.05,5708.26,5393.28,0.14,6.51,15.35
Residential,0.65,-4.54,8.22,-24.14,-2.16,-1.04,-418253.42,2516.68,-4650.15,0.16,25.0,1.95
Residential,0.56,4.68,-7.41,0.69,-1.65,-11.04,270786.66,-1794.58,766.27,-0.08,19.96,5.01
Residential,-1.04,4.78,-12.2,-13.92,0.5,8.96,800771.4,1531.37,6822.38,0.17,13.12,7.62
Residential,0.56,-2.94,11.12,-34.44,2.38,8.96,-335595.33,-406.54,-3011.58,0.1,4.53,22.09
Residential,0.9,1.83,15.25,-23.73,-0.28,8.96,172333.46,-1484.43,236.57,0.2,14.84,6.74
Residential,-1.21,-0.32,2.93,22.87,-2.36,8.96,-26528.05,-2078.53,-2918.85,0.16,25.0,3.16
Residential,1.08,4.23,16.69,-24.6,-2.26,8.96,10348.65,-134.78,5992.47,-0.1,8.4,11.91
Residential,0.55,2.31,-5.89,-3.31,-1.06,-1.04,139774.0,2311.62,-1109.71,0.04,23.7,4.22
Residential,1.07,-2.51,4.0,24.07,-1.55,-1.04,-159798.67,1396.06,-2937.54,0.16,22.99,4.35
Residential,1.13,-4.77,3.6,-34.21,-1.63,-1.04,-406290.22,-654.37,-5438.04,-0.18,25.0,1.5
Residential,0.48,2.09,-3.67,-12.29,-1.68,-1.04,488793.4,1851.33,4697.63,-0.14,17.36,5.76
Residential,0.69,2.77,5.24,3.07,-0.64,8.96,242548.51,1428.89,5334.42,-0.09,9.93,10.07
Residential,1.2,-0.24,12.02,26.37,-2.22,-1.04,115627.61,-2086.49,176.83,-0.01,19.38,5.16
Residential,-0.52,3.04,-8.76,5.41,0.16,-1.04,102276.68,1967.77,2348.87,0.1,9.76,10.25
Residential,0.7,-3.22,12.08,8.33,2.05,8.96,-291319.19,1801.21,-3757.27,-0.07,9.39,10.65
Residential,0.33,2.23,11.71,13.88,1.84,-1.04,-188256.08,155.36,960.57,0.14,4.45,22.47
Residential,-0.8,-1.29,-8.02,20.12,0.82,-1.04,13792.03,-1480.93,-1455.89,0.15,12.99,7.7
Residential,0.11,0.35,2.72,-3.26,0.63,8.96,-190078.66,-2505.83,-25.45,-0.01,5.73,17.45
Residential,0.57,-2.0,12.02,3.25,2.4,-1.04,-217524.1,-3831.03,-1803.04,-0.12,5.64,17.72
Residential,0.11,-1.23,0.29,-10.0,0.59,8.96,-49520.99,2286.66,508.23,-0.16,8.8,11.37
Residential,-0.72,2.31,-9.11,-27.81,1.38,-1.04,323719.76,1828.05,1994.2,0.1,11.9,8.4
Residential,0.29,-0.98,6.47,-6.76,-2.56,-1.04,39867.6,3025.54,3125.43,0.19,13.91,7.19
Residential,-0.07,-3.91,-9.37,-27.65,2.31,-1.04,-327463.44,2740.79,-4103.52,0.15,9.17,10.9
Residential,-0.0,-0.98,10.07,-27.54,-0.29,8.96,64263.21,12.04,134.02,0.1,13.0,7.69
Residential,1.15,0.25,4.11,-26.27,0.83,-1.04,54264.36,3370.39,140.2,0.05,11.55,8.66
Residential,-1.1,-3.91,5.7,-34.52,-2.36,8.96,-336624.21,-4390.78,-4309.51,0.09,13.89,7.2
Residential,0.88,3.56,8.98,-21.94,2.14,-11.04,433724.51,679.75,5325.13,0.08,8.54,11.71
Residential,-0.1,0.21,6.75,12.44,-2.33,-1.04,-155385.59,3432.1,-3085.49,0.12,25.0,2.47
Residential,-1.1,1.14,-16.52,32.82,-1.21,-1.04,105307.54,-26.98,175.23,-0.05,16.42,6.09
Residential,0.02,3.32,-1.54,3.26,-0.02,-11.04,259961.17,3172.33,6301.72,-0.2,8.64,11.58
Residential,-1.15,-4.8,3.86,25.44,1.75,8.96,-381545.03,-3223.14,-5756.46,-0.12,17.57,5.69
Residential,0.5,2.73,-3.05,-14.95,-0.38,-11.04,112280.74,1180.63,8727.22,0.09,5.9,16.94
Residential,0.39,3.11,5.34,2.78,-0.62,8.96,-42647.23,-3689.45,2355.17,-0.1,7.44,13.44
Residential,1.08,3.06,12.68,-26.67,-0.22,-11.04,398448.72,2567.45,13117.09,0.15,6.65,15.04
Residential,-0.53,-3.82,3.62,28.83,-2.47,-1.04,-386997.68,-729.78,-5372.26,-0.14,25.0,0.5
Residential,-0.76,3.91,-16.51,9.08,-2.25,8.96,365081.39,-1287.42,534.8,-0.02,25.0,3.7
Residential,1.13,-3.9,-4.16,8.79,-2.57,-1.04,-377930.89,-3003.01,-4785.34,0.03,16.86,5.93
Residential,-1.0,-2.57,-8.98,33.94,-2.34,8.96,-273005.45,1483.95,-4290.69,-0.09,25.0,1.89
Residential,0.94,3.11,-2.44,-34.16,1.61,-1.04,49818.52,1859.4,7784.4,0.14,4.32,23.16
Residential,0.97,-3.95,7.73,35.15,-0.89,-11.04,-380931.77,2853.17,-4243.76,-0.01,16.31,6.13
Residential,0.69,-4.19,15.41,16.36,-0.96,8.96,-271371.56,-1375.06,-4030.97,-0.17,17.12,5.84
Residential,-0.31,-1.52,7.42,25.91,-0.03,-1.04,-14401.11,-713.62,-1923.59,-0.19,15.9,6.29
Residential,0.77,3.39,0.93,24.7,-0.6,8.96,77113.86,494.85,8372.4,-0.19,5.84,17.11
Residential,-0.89,-4.31,-2.61,-20.09,-1.46,8.96,-388618.12,-2178.3,-5544.76,0.14,25.0,2.74
Residential,0.65,1.39,-1.42,3.35,0.38,8.96,47294.49,-195.21,-1178.25,-0.18,14.45,6.92
Residential,-0.67,1.73,-6.79,17.37,0.56,-1.04,-159219.36,3304.35,-1821.82,-0.14,10.99,9.1
Residential,-0.46,2.98,-4.13,-10.87,1.38,-1.04,-138963.42,888.88,1702.56,-0.02,5.06,19.76
Residential,0.14,-1.98,3.95,32.59,0.91,-1.04,-331549.5,-3542.49,-3204.33,-0.18,5.37,18.63
Residential,-1.13,2.61,-2.28,3.54,1.22,-1.04,-5804.34,-463.88,-2513.53,0.11,15.85,6.31
Residential,-0.03,3.39,-12.66,-6.78,-2.11,8.96,266298.54,3148.43,203.66,-0.08,25.0,3.5
Residential,1.23,-1.23,13.8,16.81,-1.51,-11.04,10975.38,-3735.36,2600.07,-0.01,9.47,10.56
Residential,-1.17,-0.81,-14.6,7.97,2.07,-1.04,-120869.6,-3282.19,-1311.64,-0.2,7.42,13.48
Residential,-0.21,2.37,4.76,-20.71,-1.25,8.96,280551.13,-1349.61,1884.01,0.13,16.18,6.18
Residential,0.92,2.1,-0.47,15.21,-1.8,-11.04,282435.34,579.18,7721.5,0.13,10.49,9.53
Residential,0.13,2.39,-4.9,-31.9,-2.6,-1.04,146528.07,-2273.6,2445.65,0.05,16.08,6.22
Residential,0.42,0.76,3.16,-12.6,1.4,-1.04,-170235.58,2153.09,2321.28,0.16,4.3,23.27
Residential,-0.97,4.48,-8.31,4.89,-1.31,8.96,525408.54,-2619.17,1716.49,0.06,21.6,4.63
Residential,-0.15,-2.11,-2.05,-26.8,-0.29,8.96,-299170.59,-3635.0,-3732.99,0.01,9.58,10.44
Residential,-0.35,1.56,9.52,-15.23,1.09,-1.04,-144078.7,-1845.16,-1190.24,0.15,7.88,12.69
Residential,0.72,3.14,6.04,-19.58,-1.66,-11.04,87471.63,-1706.12,8302.21,-0.05,7.02,14.24
Residential,-0.81,-0.92,-1.67,23.79,-1.31,-1.04,-165163.68,1775.85,-4155.09,0.1,25.0,2.2
Residential,-0.68,0.17,-13.13,31.79,-2.14,8.96,-125849.58,-1977.87,-1693.61,-0.17,16.34,6.12
Residential,0.66,-3.57,5.31,5.23,-2.54,-11.04,-303055.03,-4383.41,-4462.98,0.03,19.88,5.03
Residential,0.56,-3.4,-3.01,-32.24,-0.85,8.96,-314592.87,-714.5,-2953.14,-0.03,8.49,11.78
Residential,1.04,-4.62,8.5,2.48,2.48,-1.04,-415197.09,-2320.19,-4232.21,0.11,3.34,29.95
Residential,0.07,-0.05,7.66,-31.08,-1.39,-11.04,-63479.18,234.76,-235.6,0.01,13.04,7.67
Residential,-0.1,1.87,-11.14,19.27,2.24,-1.04,-108248.57,4543.05,334.22,-0.12,6.48,15.44
Residential,-0.57,-3.21,5.18,-4.11,-1.7,-1.04,-239724.47,88.78,-3939.19,0.04,25.0,3.76
Residential,0.67,2.9,-2.34,20.52,-0.98,8.96,445874.39,1880.03,9419.17,-0.19,9.86,10.14
Residential,1.05,-3.65,-5.66,9.0,-2.53,-1.04,-404094.89,-4185.72,-3959.53,-0.03,6.75,14.82
Residential,0.27,1.04,-2.92,17.91,2.01,-11.04,112235.12,-2674.99,4654.38,-0.05,5.73,17.44
Residential,0.88,0.21,0.31,-6.29,-0.66,-11.04,-90804.38,-397.78,-640.38,-0.15,11.2,8.93
Residential,0.63,-4.93,5.99,-22.74,1.48,-11.04,-405648.89,-1240.0,-5045.33,-0.0,9.44,10.59
Residential,-0.41,-4.09,-13.45,6.12,1.76,-11.04,-414688.33,325.23,-5132.25,0.16,11.24,8.9
Residential,-0.6,0.26,-9.68,-29.87,0.41,-1.04,17315.12,-3525.36,69.04,-0.08,9.96,10.04
Residential,-0.88,-4.92,-8.8,-31.3,0.73,-1.04,-458640.48,61.85,-5560.98,-0.02,19.38,5.16
Residential,-0.79,-4.74,5.95,-0.4,0.53,-1.04,-392397.39,-4873.35,-4815.02,0.18,5.99,16.69
Residential,-0.82,4.34,0.82,-34.61,-1.11,-1.04,492687.52,-1703.44,1028.68,-0.15,22.57,4.43
Residential,-0.11,-4.31,-6.57,-3.54,1.84,8.96,-384190.07,-2090.93,-4572.3,0.01,5.69,17.57
Residential,1.01,-3.73,17.54,-19.77,-0.89,8.96,-337620.62,-3535.17,-4548.0,0.12,12.35,8.1
Residential,0.08,3.31,-2.09,-33.69,-0.12,-1.04,63747.85,1308.64,6432.9,0.06,6.2,16.14
Residential,-1.21,-1.29,-11.54,2.5,1.84,-1.04,-162513.01,-879.81,-3922.47,0.16,15.77,6.34
Residential,-0.55,-4.49,-2.79,12.42,-1.82,8.96,-404749.84,-3455.36,-4174.23,-0.03,5.97,16.76
Residential,-0.3,1.05,-2.41,7.24,-0.88,-1.04,72555.64,-712.96,-1168.9,0.16,18.45,5.42
Residential,1.09,-1.26,3.44,-8.61,2.52,8.96,-60488.72,-705.63,1604.63,-0.02,5.42,18.45
Residential,0.2,1.9,12.62,-14.31,-2.73,-1.04,-101866.95,-2227.06,2437.51,-0.03,9.89,10.11
Residential,-1.21,-2.44,-9.52,30.9,-0.48,-1.04,-150886.54,67.95,-3016.29,-0.06,17.42,5.74
Residential,0.99,0.21,-0.55,33.72,-1.68,-1.04,296597.04,-953.2,6962.14,-0.08,10.83,9.23
Residential,-0.75,0.82,-11.5,22.08,-0.02,-1.04,165156.91,1985.89,400.63,0.19,14.84,6.74
Residential,0.86,1.98,-2.35,22.43,-2.45,-11.04,8664.55,-7.05,3945.54,-0.09,10.7,9.35
Residential,0.32,0.71,-9.63,-33.4,0.83,8.96,3830.24,74.52,-1803.74,0.18,14.39,6.95
Residential,0.11,0.79,12.6,-7.88,-2.05,-11.04,304873.87,-12.51,2723.31,-0.19,18.21,5.49
Residential,1.16,4.75,5.1,-8.78,1.06,-11.04,539081.25,-1622.92,11323.09,0.04,6.95,14.38
Residential,-0.95,-4.01,-3.78,20.82,-1.48,-1.04,-392173.86,-3033.0,-5655.19,-0.12,25.0,3.07
Residential,0.88,-3.46,12.36,2.63,2.18,-1.04,-252833.58,-2635.49,-4190.71,0.02,11.01,9.08
Residential,-0.02,-2.78,9.23,12.87,0.45,-1.04,-299177.79,-2184.29,-4712.7,-0.12,15.7,6.37
Residential,-0.7,-3.13,-15.69,-33.23,2.31,-1.04,-357027.58,822.1,-4492.47,0.02,8.2,12.19
Residential,0.87,-3.23,-7.2,-23.17,0.85,-1.04,-206492.8,-2107.2,-3241.91,-0.18,11.17,8.95
Residential,-0.84,4.2,-6.09,21.7,-1.47,-1.04,89616.79,1128.6,-1365.62,-0.14,24.15,4.14
Residential,-0.24,-4.09,7.15,15.2,2.67,-1.04,-350434.94,763.43,-4740.06,0.05,9.88,10.12
Residential,-0.53,3.03,1.72,-19.1,-0.83,-1.04,127160.34,-1435.04,4608.88,-0.2,8.82,11.34
Residential,0.56,3.34,-6.14,34.46,-2.04,-1.04,44481.61,3142.95,7665.43,0.15,7.86,12.73
Residential,-1.03,-2.17,4.59,-19.25,1.9,-1.04,-180924.52,2681.54,-3848.14,0.18,17.27,5.79
Residential,0.05,-0.51,8.57,-0.88,0.78,8.96,-91175.63,-4613.67,-1254.22,0.05,9.04,11.06
Residential,-0.56,2.71,-10.4,1.66,1.75,-1.04,155387.12,447.92,-1462.98,-0.13,15.6,6.41
Residential,0.3,-3.34,7.31,11.71,0.02,-1.04,-258774.76,-2980.87,-3625.5,0.03,11.22,8.91
Residential,-1.19,2.76,-3.89,-34.48,-0.26,-1.04,-77262.91,3960.84,131.91,-0.18,10.52,9.51
Residential,-0.96,0.38,-7.69,-13.11,2.14,-11.04,357533.18,-2059.75,1208.42,0.17,11.86,8.43
Residential,0.54,-3.4,0.19,-18.33,-1.9,-1.04,-355516.5,-2462.4,-3107.99,-0.02,7.45,13.43
Residential,0.68,-0.24,-2.07,-31.24,-2.67,-1.04,39260.13,2735.66,-1468.37,-0.06,25.0,2.88
Residential,0.09,2.07,-0.57,12.46,-1.98,8.96,41255.17,-3921.4,-2290.61,-0.04,24.81,4.03
Residential,-0.1,-1.45,-4.37,-22.04,-0.89,8.96,-153827.3,3959.58,-2345.42,0.07,18.42,5.43
Residential,-0.58,-4.24,-13.16,-31.91,2.73,-1.04,-376845.48,-4489.81,-5197.05,-0.0,7.16,13.96
Residential,0.17,-0.09,-0.73,-2.73,-1.94,8.96,-144755.27,1271.63,-2630.87,-0.15,23.58,4.24
Residential,-0.97,-2.93,-2.42,-14.45,0.22,8.96,-183477.88,33.16,-2543.56,-0.02,11.7,8.55
Residential,0.08,2.87,9.17,-12.29,2.36,8.96,226033.53,3163.37,1564.91,0.09,9.98,10.02
Residential,0.2,-3.42,3.25,25.67,-1.03,8.96,-369952.44,-4426.89,-4412.91,0.09,8.16,12.26
Residential,0.4,-2.06,-7.61,14.43,0.7,8.96,-167322.41,-362.88,-2536.41,0.07,11.24,8.9
Residential,-0.63,-0.95,-6.19,-14.16,1.64,-1.04,-125230.57,-117.71,-2551.97,-0.01,11.33,8.83
Residential,-0.9,-4.24,-7.34,-4.57,-0.12,-1.04,-357931.41,-3972.18,-4588.28,0.06,8.91,11.22
Residential,1.21,-1.17,3.21,7.79,-1.99,-1.04,-152525.62,-1383.74,-397.15,0.02,11.29,8.86
Residential,-0.78,0.19,-4.87,18.64,0.01,-1.04,136805.33,2980.03,-514.02,0.09,17.15,5.83
Residential,-1.08,2.19,1.94,-29.8,0.69,-11.04,70426.01,731.78,-1510.22,0.12,15.95,6.27
Residential,-0.41,1.51,-3.12,-4.27,0.46,-11.04,524240.46,-728.11,5369.9,0.07,11.38,8.79
Residential,0.85,3.26,8.7,-28.68,-1.29,-1.04,592560.1,1060.61,5200.02,0.1,16.75,5.97
Residential,0.92,2.74,12.35,-31.39,-0.36,-1.04,211173.83,-1930.71,1479.36,-0.19,13.14,7.61
Residential,0.38,-2.68,-5.41,6.04,1.0,-1.04,14549.36,2706.89,-379.47,0.06,11.29,8.86
Residential,-0.45,1.63,0.38,-31.11,2.68,-1.04,-153095.43,-79.86,-310.37,0.05,5.54,18.05
Residential,0.77,-1.24,14.21,-14.33,1.52,8.96,-170904.65,-925.14,-2830.18,0.14,10.56,9.47
Residential,0.07,0.55,12.5,-11.61,1.73,8.96,213223.65,1636.35,1898.68,0.1,9.89,10.11
Residential,-0.07,-4.17,-10.02,-16.85,-2.28,-11.04,-340043.78,-790.32,-5212.66,0.15,25.0,1.18
Residential,0.34,-2.86,7.71,-25.67,2.35,-1.04,-276251.66,-1771.75,-3674.8,0.13,7.97,12.55
Residential,-0.36,1.55,-2.87,32.1,-1.31,-1.04,164305.56,2675.44,597.98,-0.19,18.55,5.39
Residential,0.29,-4.76,12.61,22.42,-0.81,8.96,-373049.25,-576.43,-5378.02,0.15,25.0,2.5
Residential,-0.9,-3.21,-9.0,0.74,1.61,-1.04,-340620.01,-2167.08,-4691.13,-0.07,9.63,10.38
Residential,-1.1,-3.01,-5.01,9.77,2.12,-1.04,-173830.2,1128.59,-3422.44,-0.0,12.89,7.76
