city,date,irradiance,temperature,humidity,wind_speed
Delhi,20200423,4.4556,28.45,36.28,2.18
Delhi,20200424,7.2523,30.77,32.51,1.4
Delhi,20200425,5.9035,31.94,29.52,1.03
Delhi,20200426,4.0992,30.15,41.13,2.54
Delhi,20200427,6.9706,28.01,51.82,3.26
Delhi,20200428,6.2832,28.88,48.66,1.57
Delhi,20200429,6.2532,30.99,40.89,1.04
Delhi,20200430,6.4994,31.94,40.54,1.17
Delhi,20200501,6.8923,32.37,39.08,1.99
Delhi,20200502,7.111,32.65,38.61,2.46
Delhi,20200503,4.1297,31.26,43.39,2.69
Delhi,20200504,6.6034,30.68,48.83,1.46
Delhi,20200505,7.0531,31.56,41.75,1.4
Delhi,20200506,5.4365,31.67,35.47,1.59
Delhi,20200507,7.621,30.16,45.41,2.16
Delhi,20200508,7.565,32.75,33.04,1.62
Delhi,20200509,7.2187,33.4,30.61,1.44
Delhi,20200510,3.4289,30.98,44.02,2.03
Delhi,20200511,6.0163,30.14,46.03,1.89
Delhi,20200512,6.4188,31.41,37.9,1.2
Delhi,20200513,3.9077,32.66,34.93,1.43
Delhi,20200514,6.7615,33.67,35.71,1.26
Delhi,20200515,7.0716,33.41,33.82,3.31
Delhi,20200516,7.6356,33.13,28.31,3.9
Delhi,20200517,6.6514,34.34,25.48,2.17
Delhi,20200518,7.3142,34.03,22.57,2.49
Delhi,20200519,7.5792,33.72,17.27,2.62
Delhi,20200520,8.1835,33.12,18.47,2.95
Delhi,20200521,7.9397,34.13,17.42,3.89
Delhi,20200522,7.969,36.52,15.93,1.86
Delhi,20200523,7.0056,38.66,15.66,2.01
Delhi,20200524,7.579,38.32,15.52,3.19
Delhi,20200525,7.9462,37.83,18.47,3.06
Delhi,20200526,7.5576,38.37,15.49,3.35
Delhi,20200527,7.0279,38.92,14.54,2.09
Delhi,20200528,6.2282,36.75,26.53,4.83
Delhi,20200529,5.8711,34.91,32.66,4.37
Delhi,20200530,6.323,31.65,43.82,2.81
Delhi,20200531,5.2262,29.66,55.57,1.3
Delhi,20200601,6.9643,31.02,50.07,1.83
Delhi,20200602,6.7135,31.92,45.23,1.4
Delhi,20200603,6.8263,33.32,40.7,1.25
Delhi,20200604,3.4286,31.8,47.52,2.31
Delhi,20200605,5.9009,31.1,48.71,1.92
Delhi,20200606,6.5506,31.45,46.92,1.7
Delhi,20200607,6.1474,32.46,47.06,1.44
Delhi,20200608,7.1201,33.31,42.82,1.54
Delhi,20200609,7.0373,35.16,38.61,1.66
Delhi,20200610,6.5405,36.36,36.95,1.51
Delhi,20200611,6.5813,36.53,37.36,1.31
Delhi,20200612,6.0494,37.27,35.85,1.16
Delhi,20200613,4.121,36.62,35.26,1.68
Delhi,20200614,5.9148,36.06,37.18,1.47
Delhi,20200615,6.7939,36.41,33.6,1.26
Delhi,20200616,6.7774,36.84,24.35,1.34
Delhi,20200617,7.0289,36.2,28.93,1.76
Delhi,20200618,7.0087,36.92,31.28,2.11
Delhi,20200619,6.1882,37.8,31.93,2.07
Delhi,20200620,4.7575,37.92,34.46,2.19
Delhi,20200621,6.5707,35.59,42.69,1.74
Delhi,20200622,6.6761,34.3,47.89,1.48
Delhi,20200623,6.4502,34.31,49.71,3.53
Delhi,20200624,4.1851,33.17,58.96,2.51
Delhi,20200625,5.5042,34.7,54.81,1.53
Delhi,20200626,5.1089,34.31,54.76,1.89
Delhi,20200627,5.8546,37.26,39.75,3.57
Delhi,20200628,6.3026,37.44,38.99,3.68
Delhi,20200629,5.8298,37.66,36.9,2.74
Delhi,20200630,5.6971,35.02,49.62,2.51
Delhi,20200701,4.9416,36.08,44.8,1.54
Delhi,20200702,5.5313,36.19,45.85,2.24
Delhi,20200703,5.521,36.94,45.15,2.14
Delhi,20200704,5.4691,37.1,44.15,2.71
Delhi,20200705,5.3777,31.4,69.04,1.83
Delhi,20200706,4.9409,33.47,53.64,1.53
Delhi,20200707,4.4508,29.93,69.84,4.22
Delhi,20200708,4.3927,31.14,67.13,2.55
Delhi,20200709,5.9376,33.49,59.02,1.96
Delhi,20200710,5.6885,35.76,48.42,3.73
Delhi,20200711,5.4482,34.82,52.15,2.64
Delhi,20200712,5.4482,33.47,57.19,1.3
Delhi,20200713,6.7884,34.0,54.58,2.33
Delhi,20200714,6.1937,35.47,45.06,1.48
Delhi,20200715,5.0479,34.56,49.81,2.68
Delhi,20200716,5.0532,33.74,54.73,3.21
Delhi,20200717,4.7172,32.7,64.36,2.53
Delhi,20200718,3.9355,33.22,64.27,1.23
Delhi,20200719,3.8712,32.57,70.35,2.16
Delhi,20200720,4.0524,33.67,61.08,2.56
Delhi,20200721,3.9266,31.48,72.15,1.53
Delhi,20200722,3.3202,28.55,82.11,1.3
Delhi,20200723,6.6022,30.15,69.45,1.84
Delhi,20200724,5.7374,30.61,66.57,2.23
Delhi,20200725,4.8701,30.51,69.98,2.23
Delhi,20200726,6.2767,30.7,70.96,1.23
Delhi,20200727,6.1399,32.87,59.49,1.89
Delhi,20200728,5.9549,33.66,61.7,1.92
Delhi,20200729,4.447,32.25,67.28,2.29
Delhi,20200730,4.0668,29.33,80.17,1.25
Delhi,20200731,4.7023,30.84,74.8,1.31
Delhi,20200801,4.7681,31.59,70.23,1.44
Delhi,20200802,6.3394,31.96,66.49,1.8
Delhi,20200803,5.1252,32.62,68.15,2.19
Delhi,20200804,5.467,32.75,67.88,1.72
Delhi,20200805,3.3394,31.51,70.77,1.85
Delhi,20200806,5.9582,31.28,70.14,4.39
Delhi,20200807,5.1142,31.24,71.99,3.17
Delhi,20200808,6.1644,32.28,68.19,0.84
Delhi,20200809,3.9283,32.29,68.06,0.66
Delhi,20200810,4.109,30.59,78.02,1.92
Delhi,20200811,3.8371,29.26,85.53,1.86
Delhi,20200812,4.4273,30.92,79.06,1.91
Delhi,20200813,1.2823,29.18,87.46,1.39
Delhi,20200814,3.745,28.63,87.63,1.91
Delhi,20200815,4.8187,29.72,80.26,2.3
Delhi,20200816,4.9394,30.54,78.65,1.81
Delhi,20200817,4.2797,31.06,77.07,1.72
Delhi,20200818,4.3651,30.52,80.73,1.33
Delhi,20200819,0.9038,29.98,84.86,0.98
Delhi,20200820,2.3412,27.99,90.13,1.93
Delhi,20200821,5.7394,28.19,81.39,2.71
Delhi,20200822,5.3621,28.34,81.03,2.9
Delhi,20200823,4.7582,28.36,82.92,3.27
Delhi,20200824,4.8187,28.8,80.1,3.07
Delhi,20200825,4.4242,29.16,79.91,2.41
Delhi,20200826,5.6599,29.85,76.93,1.92
Delhi,20200827,5.0498,29.39,81.61,1.44
Delhi,20200828,3.2227,29.63,79.08,0.98
Delhi,20200829,5.0038,29.0,80.06,1.56
Delhi,20200830,3.4502,28.07,81.54,4.88
Delhi,20200831,5.1694,28.69,76.99,2.79
Delhi,20200901,5.7466,29.55,75.65,1.5
Delhi,20200902,4.9354,28.85,78.06,0.94
Delhi,20200903,4.8331,29.11,78.3,2.25
Delhi,20200904,4.6656,29.77,76.28,1.69
Delhi,20200905,5.3546,29.96,74.73,1.16
Delhi,20200906,5.4526,29.44,74.8,1.04
Delhi,20200907,4.8019,29.98,72.21,1.03
Delhi,20200908,5.5102,29.8,70.64,1.66
Delhi,20200909,5.7619,30.15,66.45,1.65
Delhi,20200910,5.9808,30.66,65.53,1.95
Delhi,20200911,5.8896,31.0,62.95,1.46
Delhi,20200912,5.6153,30.31,62.61,1.47
Delhi,20200913,5.0707,30.83,58.41,1.26
Delhi,20200914,4.5012,30.43,55.98,1.38
Delhi,20200915,4.9951,30.64,54.07,1.36
Delhi,20200916,5.3746,31.47,57.27,1.5
Delhi,20200917,5.7883,31.74,57.11,2.44
Delhi,20200918,5.6707,31.88,53.55,2.41
Delhi,20200919,5.2157,31.84,51.78,1.5
Delhi,20200920,5.3467,30.74,55.09,1.86
Delhi,20200921,5.1067,31.06,51.79,1.77
Delhi,20200922,5.2015,31.44,60.02,1.47
Delhi,20200923,4.9039,30.75,64.69,1.79
Delhi,20200924,4.9704,31.27,57.44,1.67
Delhi,20200925,5.6558,30.79,45.9,2.08
Delhi,20200926,4.3471,29.91,46.85,1.48
Delhi,20200927,5.507,29.53,46.65,1.29
Delhi,20200928,5.7046,29.76,43.04,1.82
Delhi,20200929,5.5841,28.48,45.66,2.3
Delhi,20200930,5.7406,28.03,46.09,2.44
Delhi,20201001,5.6813,28.45,41.74,2.22
Delhi,20201002,5.7792,28.83,38.92,1.59
Delhi,20201003,5.6779,28.11,36.83,1.75
Delhi,20201004,5.712,27.33,36.03,1.67
Delhi,20201005,5.8294,27.6,36.51,2.04
Delhi,20201006,5.7533,27.62,34.67,1.99
Delhi,20201007,5.6719,27.71,34.79,1.6
Delhi,20201008,5.4715,27.6,34.8,1.71
Delhi,20201009,5.2452,27.6,36.76,1.21
Delhi,20201010,5.1326,27.68,39.89,1.81
Delhi,20201011,4.9531,27.51,39.49,1.72
Delhi,20201012,4.9282,27.78,36.59,1.15
Delhi,20201013,4.0176,28.36,38.25,1.05
Delhi,20201014,3.955,28.21,41.65,1.07
Delhi,20201015,4.2362,28.03,36.95,1.51
Delhi,20201016,4.4981,26.93,33.16,1.66
Delhi,20201017,4.3646,27.0,31.91,1.54
Delhi,20201018,4.1983,25.98,31.77,2.23
Delhi,20201019,4.6543,24.85,31.35,2.24
Delhi,20201020,5.1439,24.93,27.29,2.08
Delhi,20201021,4.7282,26.22,23.42,1.56
Delhi,20201022,3.8777,26.75,31.78,1.1
Delhi,20201023,4.3104,25.81,32.75,1.73
Delhi,20201024,4.2794,24.87,27.27,1.74
Delhi,20201025,4.0834,24.74,24.73,1.41
Delhi,20201026,4.0375,24.34,26.47,1.67
Delhi,20201027,3.9293,23.01,30.0,2.01
Delhi,20201028,3.8753,22.76,24.15,1.25
Delhi,20201029,3.6312,22.45,25.93,1.11
Delhi,20201030,4.074,22.44,28.33,1.85
Delhi,20201031,3.9768,22.07,29.39,2.64
Delhi,20201101,4.1167,21.21,23.45,2.33
Delhi,20201102,4.3226,21.0,25.39,2.17
Delhi,20201103,4.3699,21.61,23.74,1.58
Delhi,20201104,3.6636,21.75,25.87,1.85
Delhi,20201105,3.2458,21.59,24.58,1.77
Delhi,20201106,3.3305,21.81,24.8,1.8
Delhi,20201107,3.3914,21.54,28.4,1.87
Delhi,20201108,2.7792,21.23,29.6,1.45
Delhi,20201109,3.3701,20.07,33.23,1.54
Delhi,20201110,3.3802,22.31,28.72,1.16
Delhi,20201111,3.528,22.28,32.78,1.29
Delhi,20201112,3.5911,21.43,38.93,1.09
Delhi,20201113,3.5405,21.1,36.59,1.42
Delhi,20201114,2.9861,21.77,31.49,1.09
Delhi,20201115,3.001,22.47,41.19,1.91
Delhi,20201116,2.6801,20.41,65.18,1.84
Delhi,20201117,3.2731,19.19,56.22,2.05
Delhi,20201118,3.3065,18.37,45.1,1.53
Delhi,20201119,2.958,17.67,36.83,1.83
Delhi,20201120,3.5866,17.24,35.19,2.89
Delhi,20201121,4.074,16.38,37.13,3.4
Delhi,20201122,3.7637,16.2,28.39,2.22
Delhi,20201123,3.1632,17.85,22.88,1.18
Delhi,20201124,2.7173,18.08,23.67,0.95
Delhi,20201125,1.8406,18.4,27.09,1.01
Delhi,20201126,2.7862,17.42,50.54,2.59
Delhi,20201127,4.1011,17.63,44.13,2.86
Delhi,20201128,4.0675,16.58,41.63,2.52
Delhi,20201129,3.9538,16.21,34.17,1.66
Delhi,20201130,3.7507,17.0,33.06,1.56
Delhi,20201201,3.5611,17.02,39.08,1.56
Delhi,20201202,3.654,17.78,43.13,2.3
Delhi,20201203,3.2597,18.09,45.52,1.4
Delhi,20201204,3.421,19.71,34.27,1.01
Delhi,20201205,3.4735,19.62,30.46,1.44
Delhi,20201206,3.4442,19.44,35.32,1.36
Delhi,20201207,2.8176,18.91,38.12,2.16
Delhi,20201208,3.137,19.19,38.14,1.34
Delhi,20201209,3.4512,20.08,37.86,1.67
Delhi,20201210,3.3557,20.18,44.8,1.49
Delhi,20201211,2.0417,20.66,45.22,1.17
Delhi,20201212,1.8698,19.26,59.32,1.54
Delhi,20201213,2.8721,15.34,51.71,2.89
Delhi,20201214,3.241,13.06,46.52,2.24
Delhi,20201215,2.9774,12.32,45.29,2.08
Delhi,20201216,3.1224,12.74,39.86,3.04
Delhi,20201217,3.4994,10.2,36.6,3.02
Delhi,20201218,3.8438,11.3,33.4,3.14
Delhi,20201219,3.8594,12.7,29.62,2.84
Delhi,20201220,3.4942,13.5,28.49,2.55
Delhi,20201221,3.1951,13.65,38.52,2.19
Delhi,20201222,3.2597,15.28,34.77,1.6
Delhi,20201223,3.0391,14.76,36.77,1.62
Delhi,20201224,3.0878,14.06,40.37,1.81
Delhi,20201225,3.318,13.2,40.0,2.2
Delhi,20201226,3.1327,13.95,38.05,2.0
Delhi,20201227,2.9203,15.72,34.17,1.56
Delhi,20201228,3.4306,11.85,34.04,2.6
Delhi,20201229,3.4973,11.2,40.33,2.67
Delhi,20201230,2.7506,10.19,48.21,2.26
Delhi,20201231,2.4845,10.78,39.56,1.86
Delhi,20210101,1.9769,13.36,31.89,0.88
Delhi,20210102,1.165,13.5,53.98,1.49
Delhi,20210103,0.8064,15.79,87.44,2.64
Delhi,20210104,2.2315,17.43,76.5,1.79
Delhi,20210105,1.7654,17.53,73.36,2.12
Delhi,20210106,1.4309,16.49,74.58,0.93
Delhi,20210107,1.6466,14.49,76.34,1.56
Delhi,20210108,1.3214,15.48,71.88,1.01
Delhi,20210109,1.985,15.88,64.41,1.88
Delhi,20210110,3.083,12.98,58.13,2.81
Delhi,20210111,3.0634,11.0,53.02,2.86
Delhi,20210112,3.2993,11.24,48.85,2.55
Delhi,20210113,3.0108,10.09,46.81,2.16
Delhi,20210114,2.8171,12.06,39.14,1.13
Delhi,20210115,3.0425,12.65,37.15,1.07
Delhi,20210116,2.5387,10.91,45.45,1.72
Delhi,20210117,1.7292,10.94,48.03,1.57
Delhi,20210118,1.6056,13.73,40.97,1.65
Delhi,20210119,2.6297,14.92,49.95,1.95
Delhi,20210120,3.5383,13.54,50.16,3.26
Delhi,20210121,4.2403,13.09,51.09,2.94
Delhi,20210122,2.6635,13.32,41.61,1.26
Delhi,20210123,3.0374,14.04,40.74,2.04
Delhi,20210124,1.8019,12.08,55.76,1.8
Delhi,20210125,2.2442,10.83,50.87,1.45
Delhi,20210126,3.3574,11.92,49.09,1.6
Delhi,20210127,3.9386,12.1,44.89,1.8
Delhi,20210128,2.9119,11.34,40.75,1.37
Delhi,20210129,3.8618,11.3,41.0,2.34
Delhi,20210130,4.4131,12.1,40.98,2.37
Delhi,20210131,4.5722,14.11,34.11,1.38
Delhi,20210201,4.4218,15.93,32.33,1.55
Delhi,20210202,4.4345,16.45,34.59,1.21
Delhi,20210203,4.008,16.25,39.76,1.83
Delhi,20210204,2.7024,16.17,55.01,2.09
Delhi,20210205,4.0682,14.6,64.45,1.49
Delhi,20210206,4.801,14.29,50.01,2.24
Delhi,20210207,4.825,14.51,48.46,2.36
Delhi,20210208,4.4818,15.13,47.19,1.74
Delhi,20210209,4.2881,17.63,42.11,1.66
Delhi,20210210,4.6548,19.2,37.49,1.08
Delhi,20210211,4.3855,17.5,42.78,1.33
Delhi,20210212,3.4613,17.82,44.74,1.35
Delhi,20210213,3.2974,18.3,36.03,1.26
Delhi,20210214,4.3094,19.38,32.4,1.23
Delhi,20210215,4.3673,20.37,31.05,0.75
Delhi,20210216,4.3126,19.49,37.21,1.04
Delhi,20210217,4.451,18.61,40.96,1.3
Delhi,20210218,4.4719,19.21,33.83,1.14
Delhi,20210219,4.5314,18.24,37.18,1.47
Delhi,20210220,4.391,17.76,37.4,1.66
Delhi,20210221,4.8665,18.11,37.8,2.0
Delhi,20210222,4.9169,20.06,33.36,1.94
Delhi,20210223,5.2966,21.89,29.39,1.45
Delhi,20210224,5.3294,23.44,26.88,1.44
Delhi,20210225,5.3506,23.01,29.05,1.9
Delhi,20210226,5.5226,24.48,31.53,2.45
Delhi,20210227,5.2366,23.97,36.86,2.07
Delhi,20210228,5.3854,22.85,30.13,1.91
Delhi,20210301,5.7197,21.17,22.95,2.97
Delhi,20210302,6.0156,20.75,23.79,3.38
Delhi,20210303,5.9378,22.65,20.64,2.47
Delhi,20210304,5.886,24.49,19.09,1.37
Delhi,20210305,5.6868,23.61,20.91,3.0
Delhi,20210306,6.0338,24.74,18.83,2.88
Delhi,20210307,5.7029,25.6,18.83,1.58
Delhi,20210308,4.8449,25.16,24.21,1.94
Delhi,20210309,5.1206,26.6,24.96,1.15
Delhi,20210310,5.346,26.22,30.75,1.37
Delhi,20210311,5.5066,26.39,23.64,0.96
Delhi,20210312,2.8644,23.03,42.65,2.31
Delhi,20210313,5.4454,24.08,52.5,1.49
Delhi,20210314,5.9213,25.45,29.45,2.2
Delhi,20210315,5.135,24.98,27.41,1.91
Delhi,20210316,4.812,25.4,28.67,2.37
Delhi,20210317,5.1665,26.69,28.75,1.82
Delhi,20210318,4.6793,27.63,26.82,1.39
Delhi,20210319,4.979,27.88,28.85,2.01
Delhi,20210320,6.145,26.75,25.74,2.44
Delhi,20210321,6.1157,27.72,24.73,1.28
Delhi,20210322,4.705,26.91,25.02,2.09
Delhi,20210323,4.0514,28.01,26.88,1.51
Delhi,20210324,5.7499,26.39,26.77,1.93
Delhi,20210325,5.7482,24.86,27.82,3.54
Delhi,20210326,6.4428,24.78,29.2,2.58
Delhi,20210327,6.3696,27.17,25.45,1.7
Delhi,20210328,6.1502,29.12,21.9,1.22
Delhi,20210329,6.3055,30.32,18.78,1.89
Delhi,20210330,6.2136,30.65,16.8,3.84
Delhi,20210331,7.4297,28.56,11.49,4.56
Delhi,20210401,7.6121,26.44,7.3,4.19
Delhi,20210402,7.447,25.93,9.19,2.3
Delhi,20210403,7.5293,25.93,6.84,1.89
Delhi,20210404,7.2586,27.35,8.62,2.19
Delhi,20210405,5.9791,29.26,12.56,1.44
Delhi,20210406,5.9369,30.92,12.74,1.36
Delhi,20210407,6.0574,29.93,23.43,2.94
Delhi,20210408,6.667,27.87,14.89,2.33
Delhi,20210409,7.3562,27.93,13.37,2.38
Delhi,20210410,7.2326,28.89,14.92,2.22
Delhi,20210411,7.3946,29.72,15.57,2.29
Delhi,20210412,6.7354,31.11,16.37,2.09
Delhi,20210413,7.0222,32.01,18.03,2.68
Delhi,20210414,6.582,32.49,19.51,2.56
Delhi,20210415,6.6194,32.77,17.12,1.93
Delhi,20210416,5.5265,32.81,19.77,1.86
Delhi,20210417,6.6557,29.53,31.78,2.97
Delhi,20210418,7.0901,29.58,27.62,2.06
Delhi,20210419,6.7562,31.24,20.84,2.06
Delhi,20210420,4.2876,28.68,23.21,2.3
Delhi,20210421,6.6989,27.44,32.17,2.44
Delhi,20210422,7.2142,27.33,32.2,1.22
Delhi,20210423,5.9213,29.35,24.16,2.98
Delhi,20210424,7.6195,27.47,28.25,3.34
Delhi,20210425,7.8547,28.9,17.59,2.92
Delhi,20210426,7.931,31.06,13.63,2.31
Delhi,20210427,7.1978,33.37,13.85,2.01
Delhi,20210428,6.7193,33.97,13.15,2.03
Delhi,20210429,6.0715,34.67,17.88,1.98
Delhi,20210430,6.239,34.66,17.1,1.11
Delhi,20210501,6.2621,33.73,19.57,1.31
Delhi,20210502,5.3491,33.6,21.42,1.55
Delhi,20210503,6.2162,33.92,23.81,1.76
Delhi,20210504,6.1922,34.77,20.39,1.11
Delhi,20210505,6.5256,33.54,20.14,1.31
Delhi,20210506,5.2032,33.0,29.94,1.94
Delhi,20210507,6.4824,31.59,35.56,1.17
Delhi,20210508,6.4572,32.11,29.22,1.23
Delhi,20210509,5.7713,33.1,26.83,1.59
Delhi,20210510,5.2308,34.56,24.96,1.26
Delhi,20210511,6.6554,33.78,25.38,1.96
Delhi,20210512,6.5203,34.07,24.67,1.62
Delhi,20210513,5.6662,30.93,36.53,1.3
Delhi,20210514,6.8278,31.86,32.87,1.06
Delhi,20210515,5.0302,33.51,26.98,0.89
Delhi,20210516,7.2746,34.12,21.22,1.55
Delhi,20210517,3.4001,33.43,22.31,2.63
Delhi,20210518,1.896,30.03,38.56,3.8
Delhi,20210519,1.387,25.52,67.6,4.11
Delhi,20210520,5.1079,24.92,74.53,4.88
Delhi,20210521,4.9999,28.26,57.33,1.09
Delhi,20210522,7.3087,29.68,52.14,1.85
Delhi,20210523,6.3257,28.72,45.34,1.91
Delhi,20210524,7.2336,29.25,38.26,3.9
Delhi,20210525,8.07,31.03,36.13,3.85
Delhi,20210526,7.6666,32.27,34.92,2.41
Delhi,20210527,7.4834,33.18,29.87,1.6
Delhi,20210528,7.5094,31.76,36.89,2.03
Delhi,20210529,7.2614,31.87,52.33,3.65
Delhi,20210530,6.7915,32.06,53.2,2.32
Delhi,20210531,6.5491,34.94,39.83,1.16
Delhi,20210601,5.2406,31.43,45.88,1.4
Delhi,20210602,6.0497,31.86,40.34,1.04
Delhi,20210603,6.8918,32.34,41.23,1.17
Delhi,20210604,6.1536,33.99,41.36,1.26
Delhi,20210605,6.8707,34.33,42.31,1.68
Delhi,20210606,7.2065,33.74,44.34,1.71
Delhi,20210607,6.8875,34.94,41.06,2.42
Delhi,20210608,6.7313,35.98,37.89,3.96
Delhi,20210609,6.3672,36.69,38.4,3.01
Delhi,20210610,6.0636,33.62,51.79,2.86
Delhi,20210611,6.3506,32.49,56.1,2.34
Delhi,20210612,6.2705,32.62,58.37,2.58
Delhi,20210613,5.6371,31.91,60.6,2.19
Delhi,20210614,6.7447,33.48,43.91,1.2
Delhi,20210615,5.9904,32.99,49.43,2.09
Delhi,20210616,5.2673,31.76,52.88,0.83
Delhi,20210617,5.3074,31.67,56.66,1.15
Delhi,20210618,5.7667,31.22,57.42,1.52
Delhi,20210619,5.2812,29.99,61.65,1.61
Delhi,20210620,4.8766,30.68,62.29,1.5
Delhi,20210621,6.3187,33.08,47.51,1.72
